name,definition,SPA, SPB, SPD, SPE, SPF, EFA, EFB, EFC, EFD
# of people reached through RCCE for health and hygiene promotion activities.,"People reached DIRECTLY through risk communication and community engagement and accountability approaches such as community-based activities.
People Reached Directly are People Reached at a delivery point where the reporting National Society provider is present to verify (e.g. information shared
or feedback collected at a service delivery point).
Direct RCCE and CEA activities may include face-toface and interpersonal communication (door to door, community dialogues, community meetings) to
promote hygiene and other risk reduction interventions.
People Reached Indirectly are People Reached who do not fit the definition of People Reached Directly.
Indirect RCCE and CEA activities may include mass media (local radios, TV, press), Social Media outreach.   This indicator should reflect whether the National
Society has volunteers actively reporting on health risks related to COVID-19 using community-based surveillance (CBS). This indicator is specific to the
RCRC approach to Community Based Surveillance and  does NOT include: point-of-entry screenings, call centers/ hotlines or contact tracing, which are
captured in Pillar 1.",,,,,,,,,
# of people reached through RCCE towards building vaccine acceptance.,"This refers to the people reached through risk
communication and community engagement and
accountability approaches such as community-based
activities, mass media (local radios, TV, press), Social
Media outreach or face-to-face and interpersonal
communication (door to door, community dialogues,
community meetings) to address vaccine hesitancy.
Vaccine hesitancy refers to caregiver/community
resistance to vaccination.
This number cannot be higher than the total number
of people reached through RCCE informed in the
second pillar above.",,,,,,,,,
# of community feedback reports produced ,"This indicator counts the reports that NS individually or as part of interagency working group coordination, have developed to present the findings of feedback systems or community perception surveys. Reports can be done in different formats: narrative, dashboard, etc. ",,,,,,,,,
# COVID-19 perception surveys conducted ,"The collection of feedback data from communities using a structured, quantitative survey tool through specific, predefined questions from a recommended and tested socio-behavioral survey template. A survey is a way of data collection, which needs to be embedded in the broader system of a feedback mechanism. Should be within communities or geographies where the NS is going to continue to work, with a sample at 95% confidence level and 5% margin of error. (IFRC Qualitative Feedback Toolkit) ",,,,,,,,,
# RCCE case studies produced and distributed ,"This indicator counts the number of case studies that NS individually or as part of interagency working group coordination, have developed and distributed. Case studies are research methods aiming at documenting specific interventions or approaches. Case studies can document a success, a problem, a process, or  the impact of specific interventions. Case studies should contain useful and applicable information that can be contextualized by other NSs and partners. Distribution of case studies should go from peer to peer sessions, online distribution, used at webinars or donors meetings, etc",,,,,,,,,
# of staff and volunteers trained on COVID-19 vaccine introduction,"COVID-19 vaccine introduction training includes any training provided to staff and volunteers on COVID19 vaccine introduction and roll-out, including training on social mobilization, support for campaign operations, vaccine administration or support for vaccine administration with crowd control, registration, triage, people transport, as well as any other COVID-19 vaccine training. The training can be organized by the National Society or other partner ",,,,,,,,,
# of RCCE coordination mechanisms active and formally implemented ,"The coordination mechanism should include representatives from government, multisectoral entities, Red Cross and Red Crescent and civil society, and/or non-governmental organizations and local associations. To be considered active the coordination group should have met at least once during the last quarter. ",,,,,,,,,
# of national RCCE plans for vaccines uptake integrated into national immunization plan,"RCCE plan for vaccine uptake includes activities, timelines, responsibilities, indicators, and budget, with specific deliverables for vaccination uptake  and is part of the overall immunization plan ",,,,,,,,,
# of National Societies contributing to national coordination mechanisms and national plan for risk communication and community engagement ,"National coordination refers to government-led or inter-agency led coordination group or fora where partners coordinate community engagement actions. Having a coordination mechanism in place helps to ensure that response organizations, governments and partners synchronize strategy and plans, address gaps and that recommendations and guidance are consistent and timely and can be adapted for diverse realities and population needs. The coordination mechanism should include representatives from government, multisectoral entities, Red Cross and Red Crescent and civil society, and/or non-governmental organizations and local associations. To be considered active the coordination group should have met at least once during the last quarter.
 
To contribute, NS must be regular participants, co-lead areas of work and contribute to developing guidance, tool, coordinated plans and strategies.",,,,,,,,,
# of advocacy tools developed by the NS to inform coordinated advocacy,"Development of an IFRC Advocacy Strategy tool to be used and adapted by NS, including: 
(1) key advocacy messages (according to the identified groups at risk of being excluded and the contextual background);  
(2) stakeholder map to identify who will receive which advocacy message, according to their role/influence level in a vaccination plan (stakeholders range from MoH staff, to public influencers);  
(3) a plan on advocacy communication methods of choice, as appropriate (e.g., bilateral meetings, public communication campaigns, etc.); and  
(4) an overall advocacy plan with a clear timeframe (which should start ideally before an eventual vaccination roll out plan is in place). 
This is a draft of the Advocacy Tool 
",,,,,,,,,
# of community volunteers trained to support immunization activities for COVID-19 roll out,"Measures the number of community-level volunteers trained by the RCRC National Society. Training can be on provision of vaccination, vaccination activities as allowed by the local health authority.",,,,,,,,,
# of front-line health care workers trained,"Front-line health care workers = nurses, physicians, ambulance staff. ",,,,,,,,,
# of community engagement meetings with community leaders,"Community engagement meetings: meetings focused explaining or discuss feedback mechanisms, focus group discussions with community leaders set up to collect specific feedback on the project. Meetings designed to analyse feedback received and actions to be taken. Guidance available here.",,,,,,,,,
At least 250 million people are reached with activities to address rising climate risks ,,,,,,,,,,
Support at least 500 million people in increasing their resilience to the impacts of climate change and enhancing their adaptive capacities in the most climate vulnerable countries,,,,,,,,,,
"# of people reached by programmes or operations that involve heatwave risk reduction, preparedness or response",,,,,,,,,,
# of people reached by climate-smart water and sanitation infrastructure and services in # countries,,,,,,,,,,
# of people reached by projects focused on reducing the health impacts of climate change in # countries,,,,,,,,,,
# of people reached by climate-resilient livelihoods in # countries,,,,,,,,,,
# of people reached by actions designed to reduce climate-related disaster displacement,,,,,,,,,,
# of people protected through ecosystem management and restoration projects in # countries,,,,,,,,,,
"# of Coastal cities that are supported to adapt to longer-term impacts of climate change, including sea level rise ",,,,,,,,,,
# of National Societies implement nature-based solutions focused on reducing disaster risks and adapting to and mitigating climate change,,,,,,,,,,
"# National Societies that have formulated explicit ambitions to address the rising climate and environmental risks in their operational plans, leveraging their auxiliary role and in collaboration with other partners",,,,,,,,,,
"Support # National Societies in developing, testing
and implementing climate resilient strategies, plans and
programmes, ensuring resources, knowledge and skills are available to the “last mile” communities.",,,,,,,,,,
"# National Societies implement environmental, or climate campaigns focused on behaviour change",,,,,,,,,,
"By 2025, climate and environmental risks are factored into all our programmes and humanitarian operations",,,,,,,,,,
Raise at least CHF 1 billion in financing to support a five-year global initiative to scale up local and community-based climate action.,,,,,,,,,,
"Ensure that the participation of the most vulnerable and
marginalized groups, including women, older persons,
persons with disabilities and indigenous peoples, in the development and implementation of locally-led climate
resilience programmes",,,,,,,,,,
# of people provided with access to safely managed drinking water services or an improved drinking water source (according to context),longterm and emergency. Reported by DREF/EA,,,,,,,,,
% increase in water sources meeting national water quality standards in the target area,,,,,,,,,,
# of people provided with access to safely managed sanitation services or to improved sanitation facilities (according to context),longterm and emergency. Reported by DREF/EA,,,,,,,,,
% increase in Target Population with a handwashing facility with soap and water on premises,longterm and emergency. Reported by DREF/EA,,,,,,,,,
# of people covered with activities that aim at increase of knowledge and awareness of cholera and AWD symptoms and common means of transmission,to change to hygiene promotion. To keep as the one on hygiene (potentially reformulate),,,,,,,,,
"# of people covered with activities that aim at increase of knowledge about the importance of using safe drinking water and storage, using latrines or toilets and hand washing at crucial times",longterm and emergency. Reported by DREF/EA. to keep as behavioural change indicator (reformulate),,,,,,,,,
% increase of Target Population with knowledge on the preparation and use of Oral Rehydration Solution or Salts (ORS),,,,,,,,,,
% increase of Target Population with knowledge of Oral Cholera Vaccine (OCV),,,,,,,,,,
% increase of Population willing to accept OCV if offered,,,,,,,,,,
% increase of Target Population having received OCV in the last five years if they have been offered OCV,,,,,,,,,,
% increase in Target Population registered and trained as Red Cross or Red Crescent health and/or WASH Volunteers,,,,,,,,,,
% of NS with surveillance and early detection capacity,,,,,,,,,,
% of NS with Cholera prepardness and Response Plan (or contengency plan),,,,,,,,,,
"# of Countries whith technical support or SURGE support for cholera per year (PNS, consultancies, other partners)",,,,,,,,,,
"% of people reached with WASH emeregcy actions (Kit, chlorine distribution....) in emeregeency response",,,,,,,,,,
% admin coverage for emeregency OCV campaign,,,,,,,,,,
"# people reached for cholera Response per year and per country (Axe 1, and 2) , DREF, APPEAL, One wash, reports, CSP, CP3, Anticipatory action... AFTER MAPPING",,,,,,,,,,
% of NS who received OCV and/or ORP and/or WASH training for campaign implementation,,,,,,,,,,
"% of NS with ORS distribution capacity (kit, SOPs) at branch / hotspot level",,,,,,,,,,
Visibility and Public behavior change: % of NS with communication strategy is in place ,,,,,,,,,,
Number of Target Population with access to safely managed drinking water services or an improved drinking water source (according to context),,,,,,,,,,
Target Population with access safely managed sanitation services or to improved sanitation facilities (according to context),,,,,,,,,,
Target Population with a handwashing facility with soap and water on premises,,,,,,,,,,
Target Population with knowledge and awareness of cholera and AWD symptoms and common means of transmission,,,,,,,,,,
Target Population with knowledge of Oral Cholera Vaccine (OCV),,,,,,,,,,
Number of admin coverage after preventive OCV campaign,,,,,,,,,,
#  trained as Red Cross or Red Crescent WASH (community health) Volunteers ,,,,,,,,,,
% of country with a humanitarian diplomacy strategy is in place (to cholera),,,,,,,,,,
% selected countries supported by CSP (including technical support and consultancies),,,,,,,,,,
% of CSP supported countries with NCP endorsed by the GTFCC IRP,,,,,,,,,,
% of CSP supported countries with national OCV preventive campaign multi year plan,,,,,,,,,,
% of CSP supported countries with RM and advicacy strategy implemented,,,,,,,,,,
% of CSP supported countries  with Hotspot analysis,,,,,,,,,,
#  RM CHF raised per year and per country,,,,,,,,,,
"# of cholera national/regional knowdge exchanges between diffrent NS and IFRC (training, data information, workshops...)",,,,,,,,,,
Number of chalera cases (and/or AWD) per country and per year,,,,,,,,,,
Number of cholera (and/or AWD) deaths,,,,,,,,,,
% of NS in cholera affected countries with a gap analyses and a plan to address the main gaps,,,,,,,,,,
% of country with a cholera global donor mapping is updated every year (Country – regional – Global),,,,,,,,,,
Total cash expended,,,,,,,,,,
Average number of beneficiaries per household,,,,,,,,,,
Households (provided with cash),,,,,,,,,,
Beneficiaries (provided with cash),,,,,,,,,,
Amount of average transfer value,,,,,,,,,,
Transfer value,,,,,,,,,,
Delivery mechanism / modality,,,,,,,,,,
Did the beneficiaries have access to a feedback and complaints mechanism?,,,,,,,,,,
For the cash delivery mechanism used was a framework agreement in place?,,,,,,,,,,
For the cash delivery mechanism used was a project agreement in place?,,,,,,,,,,
Did this project use a cash delivery mechanism that doesn't have an agreement in place?,,,,,,,,,,
Does sudden onset and approved anticiatory action apply to this project?,,,,,,,,,,
Does this CVA based programme have Post Distribution Monitoring in place?,,,,,,,,,,
Does this CVA based programme have a recepient commucation plan?,,,,,,,,,,
Monetized value of in-kind goods that has reached people's hands only,,,,,,,,,,
"Percentage of households who report being able to meet the basic needs of their households, according to their priorities (Min Exp Basket)","Questions are constructed as an initial reflection on what the individual understands as their ‘basic needs’, then whether they were able to meet these. Finally, what they were unable to meet. No disaggregation",,,,,,,,,
Number and % of targeted households that have not sold any assets / property (specify type of assets/property sold) ,Ideally measured in the period of CVA support and the equivalent period length prior to CVA support. No disaggregation,,,,,,,,,
Number of people (and households) who successfully received cash for basic needs after being identified and processed for transfer.,SADDD,,,,,,,,,
Number of people (and households) who successfully received vouchers after being identified and processed for vouchers.,SADDD,,,,,,,,,
Number of people (and households) who received both cash and voucher assistance,SADDD,,,,,,,,,
Total spent for program/operation in CHF as cash transfer,Amounts should include transfer value ONLY but no other indirect costs,,,,,,,,,
Total spent for program/operation in CHF as vouchers,Amounts should include transfer value ONLY but no other indirect costs,,,,,,,,,
Number of people targeted for CVA assistance,SADDD,,,,,,,,,
Number targeted for CVA assistance who are known migrants or displaced people,,,,,,,,,,
"Percentage of beneficiaries reporting that humanitarian assistance is delivered in a safe, respectful, accessible, accountable and participatory manner",,,,,,,,,,
RESi. % of targeted population living in basic emergency shelter that is safe and adequately enables essential household and livelihoods activities to be undertaken with dignity. ,[=RESii/RESh],,,,,,,,,
RESii. Number of people provided with basic emergency shelter that is safe and adequately enables essential household and livelihoods activities to be undertaken with dignity,[=RESa or RESb (whichever is smaller)] SADDD,,,,,,,,,
"RESa. Number of people (and households) provided with emergency shelter, who subsequently occupy shelter that is safe and adequately enables essential household and livelihoods activities to be undertaken with dignity (meets agreed standards in context, Sphere/national/cluster standards – delete as applicable)",SADDD,,,,,,,,,
"RESb. Number of people (and households) provided with household items that support the restoration and maintenance of health, dignity and safety and the undertaking of daily domestic activities in and around the home","Ideally household items allow all of the following: comfortable sleeping, water and food storage, food preparation, cooking, eating, lighting, and clothing. SADDD",,,,,,,,,
RESc. Number of people taking part in cash-for-work (CFW) schemes related to shelter and settlement activities,SADDD,,,,,,,,,
RESd. Number of staff and volunteers who completed training in emergency shelter and emergency household items,SADDD,,,,,,,,,
RESe. Number of affected people who completed training in emergency shelter and emergency household items,SADDD,,,,,,,,,
RESf. Number of people who received rental assistance during the response period ,SADDD,,,,,,,,,
RESg. Number of sites for which debris removal has been completed,,,,,,,,,,
RESh.Number of people targeted for shelter assistance in the response period,SADDD,,,,,,,,,
RESi.Number targeted for shelter assistance in the response period who are known migrants or displaced people ,,,,,,,,,,
RESj.Number of separate sites targeted for shelter and settlement assistance,,,,,,,,,,
EREI. % of targeted population living in transitional shelter that is safe and adequately enables essential household and livelihoods activities to be undertaken with dignity,[=EREII/EREi] Meets agreed standards in context Sphere/national/cluster standards – delete as applicable. SADDD,,,,,,,,,
"EREII. Number of people (and households) provided with transitional shelter, cash and/or in-kind assistance for the same, who subsequently occupy shelter that is safe and adequately enables essential household and livelihoods activities to be undertaken with dignity",[=(EREa+EREb+EREc+EREd)] Meets agreed standards in context Sphere/national/cluster standards – delete as applicable. SADDD,,,,,,,,,
EREa. Number of people (and households) provided with transitional shelter that is safe and adequately enables essential household and livelihoods activities to be undertaken with dignity,Meets agreed standards in context Sphere/national/cluster standards – delete as applicable. SADDD,,,,,,,,,
EREb. Number of people (and households) provided with cash / voucher only assistance for repairs or construction (for material and/or labour) for transitional shelter that is safe and adequately enables essential household and livelihoods activities to be undertaken with dignity,Meets agreed standards in context Sphere/national/cluster standards – delete as applicable. SADDD,,,,,,,,,
EREc. Number of people (and households) provided with in-kind assistance only for repairs or construction (for material and/or labour) for transitional shelter that is safe and adequately enables essential household and livelihoods activities to be undertaken with dignity,Meets agreed standards in context Sphere/national/cluster standards – delete as applicable. SADDD,,,,,,,,,
EREd. Number of people (and households) provided with both cash / vouchers and in-kind assistance for repairs or construction (for material and/or labour) for transitional shelter that is safe and adequately enables essential household and livelihoods activities to be undertaken with dignity,Meets agreed standards in context Sphere/national/cluster standards – delete as applicable. SADDD,,,,,,,,,
"EREe. Number of people (and households) provided with temporary / transitional communal facilities which meet agreed standards for the specific context (Sphere/national/cluster standards – delete as appropriate) (e.g. elderly centres, woman and child friendly spaces, playgrounds, waste-disposal areas, multi-purpose village halls, cyclone shelters, health centres, etc.)",SADDD,,,,,,,,,
EREf. Number of people who attended training / awareness raising sessions on transitional safe shelter,SADDD,,,,,,,,,
EREg. Number of people (and households) who received rental assistance during the recovery period,SADDD,,,,,,,,,
EREh. Number of people (and households) who received legal advisory or administrative support on land tenure or securing a site for settlement in the recovery period,SADDD,,,,,,,,,
EREi. Number of people targeted for shelter assistance in the early recovery period,SADDD,,,,,,,,,
"RECI. % of targeted population living in durable and sustainable transitional shelter that is safe and adequately enables essential household and livelihoods activities to be undertaken with dignity (which meets agreed standards in context, Sphere/national/cluster standards – delete as applicable)",[=RECII/RECH] SADDD,,,,,,,,,
"RECII. Number of people (and households) provided with durable and sustainable transitional shelter, cash and/or in-kind assistance for the same, who subsequently occupy shelter which meets agreed standards in context (Sphere/national/cluster standards – delete as applicable)",[=RECA+RECB+RECC+RECD] SADDD,,,,,,,,,
RECA. Number of people (and households) provided with durable / sustainable shelter that is safe and adequately enables essential household and livelihoods activities to be undertaken with dignity.,SADDD,,,,,,,,,
RECB. Number of people (and households) provided with cash / voucher assistance only for repairs or construction (for material and/or labour) for durable / sustainable shelter that is safe and adequately enables essential household and livelihoods activities to be undertaken with dignity.,SADDD,,,,,,,,,
RECC. Number of people (and households) provided with in-kind assistance only for repairs or construction (for material and/or labour) for durable / sustainable shelter that is safe and adequately enables essential household and livelihoods activities to be undertaken with dignity. ,SADDD,,,,,,,,,
RECD. Number of people (and households) provided with both cash / voucher and in-kind assistance for repairs or construction (for material and/or labour) for durable / sustainable shelter that is safe and adequately enables essential household and livelihoods activities to be undertaken with dignity. ,SADDD,,,,,,,,,
"RECE. Number of people (and households) provided with durable / sustainable communal facilities which meet agreed standards for the specific context, (Sphere/national/cluster standards – delete as appropriate) (e.g. elderly centres, woman and child friendly spaces, playgrounds, waste-disposal areas, multi-purpose village halls, cyclone shelters, health centres, etc.)",SADDD,,,,,,,,,
RECF. Number of people who attended training / awareness raising sessions on safe shelter (recovery).,SADDD,,,,,,,,,
RECG. Number of people trained in shelter and settlement vocational programmes.,SADDD,,,,,,,,,
RECH. Number of people targeted for shelter assistance in the recovery period,SADDD,,,,,,,,,
Number targeted for shelter assistance in the recovery period who are known migrants or displaced people,,,,,,,,,,
Number of target communities / sites in the SHELTER RCRC response,"If informal, these are discrete continuous sites which require travel between them. If formally recognised, then they are identified as such by name or number by administrative authorities and should be the lowest in the administrative hierarchy (such as village, commune, camp zone).",,,,,,,,,
Total spent for Shelter program/operation in CHF as cash transfer,Amounts should include transfer value ONLY but no other indirect costs,,,,,,,,,
Total spent for Shelter program/operation in CHF as vouchers,Amounts should include transfer value ONLY but no other indirect costs,,,,,,,,,
"% of target population who, during the response phase, state they are satisfied with their access to water and sanitation facilities ","Satisfaction would be a response of 1 to all the associated questions around distance, waiting times, cleanliness, safety, privacy and basic hygiene materials (for women, also an additional question relating to menstrual hygiene management)",,,,,,,,,
Number of people reached by WASH assistance,"People reached with WASH services related to: hygiene promotion, water provision, excreta management, vector control, excreta management, and solid waste management. See Sphere Manual for more information. ",,,,,,,,,
Number of target communities / sites with WASH situation assessments conducted at least once ,Cannot be larger than number of sites,,,,,,,,,
Number of WASH situation assessments conducted in total,Cannot be larger than number of sites,,,,,,,,,
Number of target communities / sites that have been offered face-to-face opportunities to both describe their needs and comment on draft WASH plans (location and design),,,,,,,,,,
a. Number of people targeted for WASH assistance in the response phase.,,,,,,,,,,
b. Number targeted for WASH assistance in the response phase who are known migrants or displaced people.,,,,,,,,,,
c. Number of target communities / sites in the WASH RCRC response,"If informal, these are discrete continuous sites which require travel between them. If formally recognised, then they are identified as such by name or number by administrative authorities and should be the lowest in the administrative hierarchy (such as village, commune, camp zone).",,,,,,,,,
Total spent for WASH program/operation in CHF as cash transfer,Amounts should include transfer value ONLY but no other indirect costs,,,,,,,,,
Total spent for WASH program/operation in CHF as vouchers,Amounts should include transfer value ONLY but no other indirect costs,,,,,,,,,
a. % of people (and households) that have access to sufficient safe water which meets Sphere and WHO standards in terms of quantity and quality in the response period,,,,,,,,,,
"b. (If appropriate) Percentage of people (and households) which collect water in a narrow neck container (only allows space for hand to clean, not for entry of scoop or cup)",,,,,,,,,,
"c. Percentage of people (and households) which store their drinking water in a narrow neck container with tap (only allows space for hand to clean, not for entry of scoop or cup) (e.g. Oxfam bucket, other storage container with tap)",Alternative outcome indicator,,,,,,,,,
a. Number of people who have been supplied by RCRC with an improved protected source of drinking water (according to WHO and Sphere standards) ,,,,,,,,,,
b. Number of litres of safe water distributed through RCRC emergency water supply (cumulative),,,,,,,,,,
c. Average amount of safe water distributed per person per day by RCRC (b/days/a),,,,,,,,,,
d. Number of RCRC water distribution points,,,,,,,,,,
"e. Number of water sources constructed or rehabilitated (wells with pumps, spring protection, community ponds with filtration) ",,,,,,,,,,
Number of people (and households) reached with effective water treatment materials and promotion in the response period,,,,,,,,,,
Communal water system maintenance and treatment resourcing is evident for the period of response for each site/community,"Evidence of existence of maintenance and treatment is rosters, funds, materials",,,,,,,,,
% of people (and households) that have an improved sanitation facility within 50 metres of their home during the response phase (source inspection plus spatial analysis of proportion of households within 50 metre radius),,,,,,,,,,
a. Number of constructed communal / shared sanitation facilities by male/female,Disaggregated by male / female,,,,,,,,,
b. Number of constructed household sanitation facilities,,,,,,,,,,
c. Number of constructed female sanitation facilities suitable for managing menstruation and for disposing of menstrual hygiene materials. ,,,,,,,,,,
d. Number of constructed sanitation facilities that are adapted for use by the frail[3] elderly and those with physical disabilities (older people and people with disabilities have safe and dignified access to sanitation facilities).,,,,,,,,,,
e. Number of people provided with sanitation facilities (this is more than excreta disposal),,,,,,,,,,
f. Average number of people per toilet / latrine (total target population / total number of toilets including existing and constructed),,,,,,,,,,
"g. People (and households) receiving protection from environmental sanitation activities (i.e. solid waste management, drainage, vector control)",,,,,,,,,,
Communal toilet cleaning maintenance resourcing is evident for the period of response for each site/community,"Evidence of existence of maintenance and treatment is rosters, funds, materials",,,,,,,,,
"% of people (and households) who, during the response phase, identify, without prompting, key times to wash hands (at least after defecating or cleaning another after the toilet, before eating or preparing food, after blowing nose/coughing/sneezing) ",,,,,,,,,,
Number and % of communal or household toilets that have handwashing stations with evidence of use in the response period,Evidence of use as handwashing station: soap and water present,,,,,,,,,
a. Number of people (and households) reached by hygiene promotion activities in the response period,,,,,,,,,,
b. Number of people (and households) provided with handwashing facilities (communal or individual) in the response period,"A facility is the space for one person to use, distanced from others",,,,,,,,,
c. Number of people (and households) provided with bathing facilities (communal or individual) in the response period,A facility is the space for one person to use privately,,,,,,,,,
d. Number of handwashing facilities constructed in the response period,A facility is the space for one person to use distanced from others,,,,,,,,,
e. The number of constructed handwashing facilities that are adapted for use by the frail[4] elderly and those with physical disabilities in the response period (older people and people with disabilities have safe and dignified access to hygiene facilities),A facility is the space for one person to use at a time distanced from others,,,,,,,,,
f. Number of separate bathing facilities constructed by male/female in the response period,A facility is the space for one person to use privately. Disaggregated by male / female,,,,,,,,,
g. Number of separate household bathing facilities constructed in the response period,A facility is the space for one person to use privately,,,,,,,,,
h. Number of female bathing facilities constructed that are suitable for managing menstruation and for disposing of menstrual hygiene materials in the response period,A facility is the space for one person to use privately,,,,,,,,,
i. The % and number of bathing facilities constructed that are adapted for use by the frail[5] elderly and those with physical disabilities in the response period (WHO: at least 15% should be accessible),A facility is the space for one person to use privately,,,,,,,,,
k. Number of hand sanitizers delivered to volunteers (included as general hygiene items),These may be items delivered as part of essential household items if relevant (see SHELTER),,,,,,,,,
"% of target population who, during the recovery phase, state they are satisfied with their access to water and sanitation facilities ","Satisfaction would be a response of 1 to all the associated questions around distance, waiting times, cleanliness, safety and basic hygiene materials. For women, also an additional question relating to menstrual hygiene management",,,,,,,,,
a. Number of people targeted for WASH assistance in the recovery phase.,,,,,,,,,,
b. Number targeted for WASH assistance in the recovery phase who are known migrants or displaced people.,,,,,,,,,,
Number and % of people (and households) that have access to sufficient safe water which meets Sphere and WHO standards in terms of quantity and quality in the recovery period,,,,,,,,,,
Communal water system maintenance and treatment resourcing is evident for the period of recovery for each site/community,"Evidence of existence of maintenance and treatment is rosters, funds, materials",,,,,,,,,
"Number of people (and households) reached with effective water treatment materials, and promotion in the recovery period",,,,,,,,,,
% of people (and households) that have an improved sanitation facility within 50 metres of their home during the recovery phase,Inspection to verify ‘improved’ plus spatial analysis of proportion of households within 50 metre radius,,,,,,,,,
"a. Number of people (and households) receiving protection from environmental sanitation activities (i.e. solid waste management, drainage, vector control) in the recovery phase.",,,,,,,,,,
Communal toilet cleaning maintenance resourcing is evident for the period of recovery for each site/community,"Evidence of existence of maintenance and treatment is rosters, funds, materials",,,,,,,,,
"a. % of people (and households) who, during the recovery phase, identify, without prompting, key times to wash hands (at least after defecating or cleaning another after the toilet, before eating or preparing food, after blowing nose/coughing/sneezing)",,,,,,,,,,
b. Number and % of communal or household toilets that have handwashing stations with evidence of use in the recovery period.,Evidence of use as handwashing station: soap and water present,,,,,,,,,
"Handwashing replenishment (water, soap) resourcing is evident for the period of response for each site/community","Evidence of existence of maintenance and treatment is rosters, funds, materials",,,,,,,,,
Number of sectoral or PGI assessments conducted using the PGI Minimum Standards,,,,,,,,,,
"Number of people reached by protection, gender and inclusion services ",SADDD,,,,,,,,,
Number of people trained on implementing the PGI Minimum Standards,SADDD,,,,,,,,,
Operation establishes or links to an existing referral pathway,Yes / No,,,,,,,,,
"Number of protection incidents (SGBV, Child Protection or other) reported via IFRC protection monitoring report",SADDD,,,,,,,,,
"Number of referrals made (SGBV, Child Protection or other) via a common referral pathway",SADDD,,,,,,,,,
Number and % of target locations covered by the RCRC which have safe spaces established by RCRC ,,,,,,,,,,
Number of people accessing safe spaces,SADDD,,,,,,,,,
Programme has completed the IFRC Child Safeguarding Risk Analysis,Yes / no,,,,,,,,,
"Number of children of diverse gender, ages, and backgrounds participating in child-friendly consultations to help design, implement, and monitor the programme",,,,,,,,,,
Number of people reached with child protection education ,SADDD,,,,,,,,,
"Number and % of target locations covered by the RCRC where gender-, age-, disability- and culturally sensitive response services for child survivors are currently operating [Sphere CPMS]",,,,,,,,,,
Number of child friendly/safe spaces supported by the RCRC ,,,,,,,,,,
Number and % of children and their caregivers who have been supported by RCRC to access child protection services who report satisfaction with the service provision ,"‘Child protection services’ are medical, legal, education or psychosocial",,,,,,,,,
"Number and % of unaccompanied and separated children (UASC) for whom identification/ documentation/ family tracing/reunification/prevention of further separation interventions, begins within 72 hours of registration                                                                              ",Number of UASC cases for which interventions initiated divided by total UASC registered in the period,,,,,,,,,
Number and % of RCRC staff screened by relevant local authorities,,,,,,,,,,
Number and % of RCRC staff who have been briefed on the Child Safeguarding Policy,,,,,,,,,,
Number and % of RCRC staff who understand where to report a Child Safeguarding breach by humanitarian personnel,,,,,,,,,,
Number and % of RCRC staff and volunteers trained on Minimum Standards for Child Protection in Humanitarian Response,,,,,,,,,,
Number of people referred to survivor-centred SGBV-dedicated services ,Sex disaggregated data,,,,,,,,,
"Number of RCRC health staff who can demonstrate having sufficient skills to refer to, or skills and equipment to provide services for, SGBV survivors",,,,,,,,,,
"Number and % of survivors of SGBV presenting to RCRC who are referred to appropriate medical, psychological or other support services within 72 hours of presentation",SADDD,,,,,,,,,
"Number and % of volunteers and staff trained on basic SGBV awareness and survivor-centered response, including receiving and managing sensitive safaguarding-related disclosures.",,,,,,,,,,
Number of RCRC health care facilities which have adopted protocols of clinical management of rape.     ,,,,,,,,,,
Number of RCRC health staff trained on clinical management of rape,,,,,,,,,,
Number of safe and accessible water pumps for cooking and drinking water which are culturally appropriate.,,,,,,,,,,
"Number of safe, accessible and private bathing facilities which are culturally appropriate. ",,,,,,,,,,
"Number of girls, female adolescents and women consulted for the design of the MHM-related actions. ",,,,,,,,,,
"Number of girls, female adolescents and women reached by information dissemination sessions on menstrual hygiene management (MHM)",,,,,,,,,,
Number of separate latrines for men and women with locks on the inside and adequate lighting [lighting is dependent on context]                                                                  ,Disaggregated by male / female,,,,,,,,,
Number of houses / shelters constructed which incorporate adaptations based on the specific needs of the users linked to impairments,,,,,,,,,,
Number of humanitarian diplomacy initiatives on prevention and response to SGBV and violence against children,,,,,,,,,,
"Number of changes in state policies or legal frameworks that contribute to safe, and inclusive environment (on issues for which NS and IFRC have had humanitarian diplomacy initiatives)",,,,,,,,,,
Number of safe and accessible referral pathways which are culturally appropriate. ,,,,,,,,,,
Number and/or purcentage of children and adults who have access to safer referral reporting mechanisms and who can handle SEA and child safeguarding complaints,,,,,,,,,,
Number of RCRC staff and vulunteers trained on Prevention and protection of sexual exploitation and abuse and child safeguarding,,,,,,,,,,
Number or % of RCRC developped or are developping PSEA of Child Safeguarding policies,,,,,,,,,,
Number of RCRC sectors/programmes which conducted child safeguarding risk assessment,,,,,,,,,,
Number of RCRC staff and volunteers who have been briefed and signed the staff Code of Conduct ,,,,,,,,,,
Number of RCRC have a safeguarding focal person,,,,,,,,,,
Number of satisfaction surveys completed ,,,,,,,,,,
Number of community consultation meetings ,,,,,,,,,,
The operation is informed by a needs assessment which includes information gathered from affected people,,,,,,,,,,
The operation is informed by a context analysis. The operation is informed by the capacity and culture of community.,"This is the social, economic and cultural context which may affect and should inform the response operation.",,,,,,,,,
"Number of different community groups and representatives consulted on response plans, per geographical location [if this is 2 or 5, or 17 what does this tell us about the response or its coordination?]",,,,,,,,,,
